PAD_FIELDS=TYPE|COMPONENT|PIN|EXPANSION|EXPANSION_MODE|TOP_SOLDER|BOTTOM_SOLDER|PASTE_ENABLED|TOP_PASTE_ENABLED|BOTTOM_PASTE_ENABLED
VIA|53|0|0|1
VIA|54|0|0|1
VIA|55|0|0|1
VIA|56|0|0|1
VIA|57|0|0|1
VIA|58|0|0|1
VIA|59|0|0|1
VIA|60|0|0|1
VIA|61|0|0|1
VIA|62|0|0|1
VIA|63|0|0|1
VIA|64|0|0|1
VIA|65|0|0|1
VIA|66|0|0|1
VIA|67|0|0|1
VIA|68|0|0|1
VIA|69|0|0|1
VIA|70|0|0|1
VIA|71|0|0|1
VIA|72|0|0|1
VIA|73|0|0|1
VIA|74|0|0|1
VIA|75|0|0|1
VIA|76|0|0|1
VIA|77|0|0|1
VIA|78|0|0|1
VIA|79|0|0|1
VIA|80|0|0|1
VIA|81|0|0|1
VIA|82|0|0|1
VIA|83|0|0|1
VIA|84|0|0|1
VIA|85|0|0|1
VIA|86|0|0|1
VIA|87|0|0|1
VIA|88|0|0|1
VIA|89|0|0|1
VIA|90|0|0|1
VIA|91|0|0|1
VIA|92|0|0|1
VIA|93|0|0|1
VIA|94|0|0|1
VIA|95|0|0|1
VIA|96|0|0|1
VIA|97|0|0|1
VIA|98|0|0|1
VIA|99|0|0|1
VIA|100|0|0|1
VIA|101|0|0|1
VIA|102|0|0|1
VIA|103|0|0|1
VIA|104|0|0|1
VIA|105|0|0|1
VIA|106|0|0|1
VIA|107|0|0|1
VIA|108|0|0|1
VIA|109|0|0|1
VIA|110|0|0|1
VIA|111|0|0|1
VIA|112|0|0|1
VIA|113|0|0|1
VIA|114|0|0|1
VIA|115|0|0|1
VIA|116|0|0|1
VIA|117|0|0|1
VIA|118|0|0|1
VIA|119|0|0|1
VIA|120|0|0|1
VIA|121|0|0|1
VIA|122|0|0|1
VIA|123|0|0|1
VIA|124|0|0|1
VIA|125|0|0|1
VIA|126|0|0|1
VIA|127|0|0|1
VIA|128|0|0|1
VIA|129|0|0|1
VIA|130|0|0|1
VIA|131|0|0|1
VIA|132|0|0|1
VIA|133|0|0|1
VIA|134|0|0|1
VIA|135|0|0|1
VIA|136|0|0|1
VIA|137|0|0|1
VIA|138|0|0|1
VIA|139|0|0|1
VIA|140|0|0|1
VIA|141|0|0|1
VIA|142|0|0|1
VIA|143|0|0|1
VIA|144|0|0|1
VIA|145|0|0|1
VIA|146|0|0|1
VIA|147|0|0|1
VIA|148|0|0|1
VIA|149|0|0|1
VIA|150|0|0|1
VIA|151|0|0|1
VIA|152|0|0|1
VIA|153|0|0|1
VIA|154|0|0|1
VIA|155|0|0|1
VIA|156|0|0|1
VIA|157|0|0|1
VIA|158|0|0|1
VIA|159|0|0|1
VIA|160|0|0|1
VIA|161|0|0|1
VIA|162|0|0|1
VIA|163|0|0|1
VIA|164|0|0|1
VIA|165|0|0|1
VIA|166|0|0|1
VIA|167|0|0|1
VIA|168|0|0|1
VIA|169|0|0|1
VIA|170|0|0|1
VIA|171|0|0|1
VIA|172|0|0|1
VIA|173|0|0|1
VIA|174|0|0|1
VIA|175|0|0|1
VIA|176|0|0|1
VIA|177|0|0|1
VIA|178|0|0|1
VIA|179|0|0|1
VIA|180|0|0|1
VIA|181|0|0|1
VIA|182|0|0|1
VIA|183|0|0|1
VIA|184|0|0|1
VIA|185|0|0|1
VIA|186|0|0|1
VIA|187|0|0|1
VIA|188|0|0|1
VIA|189|0|0|1
VIA|190|0|0|1
VIA|191|0|0|1
VIA|192|0|0|1
VIA|193|0|0|1
VIA|194|0|0|1
VIA|195|0|0|1
VIA|196|0|0|1
VIA|197|0|0|1
VIA|198|0|0|1
VIA|199|0|0|1
VIA|200|0|0|1
VIA|201|0|0|1
VIA|202|0|0|1
VIA|203|0|0|1
VIA|204|0|0|1
VIA|205|0|0|1
VIA|206|0|0|1
VIA|207|0|0|1
VIA|208|0|0|1
VIA|209|0|0|1
VIA|210|0|0|1
VIA|211|0|0|1
VIA|212|0|0|1
VIA|213|0|0|1
VIA|214|0|0|1
VIA|215|0|0|1
VIA|216|0|0|1
VIA|217|0|0|1
VIA|218|0|0|1
VIA|219|0|0|1
VIA|220|0|0|1
VIA|221|0|0|1
VIA|222|0|0|1
VIA|223|0|0|1
VIA|224|0|0|1
VIA|225|0|0|1
VIA|226|0|0|1
VIA|227|0|0|1
VIA|228|0|0|1
VIA|229|0|0|1
VIA|230|0|0|1
VIA|231|0|0|1
VIA|232|0|0|1
VIA|233|0|0|1
VIA|234|0|0|1
VIA|235|0|0|1
VIA|236|0|0|1
VIA|237|0|0|1
VIA|238|0|0|1
VIA|239|0|0|1
VIA|240|0|0|1
VIA|241|0|0|1
VIA|242|0|0|1
VIA|243|0|0|1
VIA|244|0|0|1
VIA|245|0|0|1
VIA|246|0|0|1
VIA|247|0|0|1
VIA|248|0|0|1
VIA|249|0|0|1
VIA|250|0|0|1
VIA|251|0|0|1
VIA|252|0|0|1
VIA|253|0|0|1
VIA|254|0|0|1
VIA|255|0|0|1
VIA|256|0|0|1
VIA|257|0|0|1
VIA|258|0|0|1
VIA|259|0|0|1
VIA|260|0|0|1
VIA|261|0|0|1
VIA|262|0|0|1
VIA|263|0|0|1
VIA|264|0|0|1
VIA|265|0|0|1
VIA|266|0|0|1
VIA|267|0|0|1
VIA|268|0|0|1
VIA|269|0|0|1
VIA|270|0|0|1
VIA|271|0|0|1
VIA|272|0|0|1
VIA|273|0|0|1
VIA|274|0|0|1
VIA|275|0|0|1
VIA|276|0|0|1
VIA|277|0|0|1
VIA|278|0|0|1
VIA|279|0|0|1
VIA|280|0|0|1
VIA|281|0|0|1
VIA|282|0|0|1
VIA|283|0|0|1
VIA|284|0|0|1
VIA|285|0|0|1
VIA|286|0|0|1
VIA|287|0|2|1
VIA|288|0|2|1
VIA|289|0|2|1
VIA|290|0|2|1
VIA|291|0|2|1
VIA|292|0|2|1
VIA|293|0|2|1
VIA|294|0|2|1
VIA|295|0|2|1
VIA|296|0|2|1
VIA|297|0|2|1
VIA|298|0|2|1
VIA|299|0|2|1
VIA|300|0|2|1
VIA|301|0|2|1
VIA|302|0|2|1
VIA|303|0|2|1
VIA|304|0|2|1
VIA|305|0|2|1
