x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
16.516236,39.376492,L6,L5,.100,.250,GND,RC_PERIMETER
16.506081,38.976620,L6,L5,.100,.250,GND,RC_PERIMETER
15.402207,38.688810,L6,L5,.100,.250,GND,RC_PERIMETER
15.100694,38.951659,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,39.351301,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,39.751300,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,40.151299,L6,L5,.100,.250,GND,RC_PERIMETER
15.083762,40.551298,L6,L5,.100,.250,GND,RC_PERIMETER
14.874446,40.892161,L6,L5,.100,.250,GND,RC_PERIMETER
14.869998,41.292137,L6,L5,.100,.250,GND,RC_PERIMETER
14.869998,41.692137,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,49.241680,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,49.641679,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,50.041678,L6,L5,.100,.250,GND,RC_PERIMETER
10.283764,50.441677,L6,L5,.100,.250,GND,RC_PERIMETER
10.287833,50.841656,L6,L5,.100,.250,GND,RC_PERIMETER
10.545722,51.147424,L6,L5,.100,.250,GND,RC_PERIMETER
11.708270,50.863541,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,50.463620,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,50.063621,L6,L5,.100,.250,GND,RC_PERIMETER
11.716240,49.663622,L6,L5,.100,.250,GND,RC_PERIMETER
11.829537,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
12.229536,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
12.629535,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
13.029535,49.280000,L6,L5,.100,.250,GND,RC_PERIMETER
13.427126,49.236173,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.891439,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.491440,L6,L5,.100,.250,GND,RC_PERIMETER
13.630003,48.091441,L6,L5,.100,.250,GND,RC_PERIMETER
13.570519,47.695889,L6,L5,.100,.250,GND,RC_PERIMETER
13.211266,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.811267,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.411268,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
12.011269,47.519999,L6,L5,.100,.250,GND,RC_PERIMETER
11.611270,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
10.563271,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
10.179581,47.633062,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.017760,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.417759,L6,L5,.100,.250,GND,RC_PERIMETER
10.070000,48.817759,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,48.900004,L6,L5,.100,.250,GND,RC_PERIMETER
6.080544,49.240110,L6,L5,.100,.250,GND,RC_PERIMETER
