x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
7.783764,50.465916,L6,L5,.100,.250,GND,RC_PERIMETER
8.918407,51.157233,L6,L5,.100,.250,GND,RC_PERIMETER
9.204952,50.878141,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,50.478299,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,50.078300,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,49.678300,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,49.278301,L6,L5,.100,.250,GND,RC_PERIMETER
9.427982,48.938945,L6,L5,.100,.250,GND,RC_PERIMETER
9.430001,48.538950,L6,L5,.100,.250,GND,RC_PERIMETER
9.430001,48.138951,L6,L5,.100,.250,GND,RC_PERIMETER
9.394876,47.740496,L6,L5,.100,.250,GND,RC_PERIMETER
9.061018,47.520179,L6,L5,.100,.250,GND,RC_PERIMETER
8.063019,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
7.663020,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
7.263021,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.863022,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.463022,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.065868,47.567626,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,47.916391,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,48.316391,L6,L5,.100,.250,GND,RC_PERIMETER
3.449998,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
3.109892,30.330546,L6,L5,.100,.250,GND,RC_PERIMETER
3.069999,30.728552,L6,L5,.100,.250,GND,RC_PERIMETER
3.069999,31.128551,L6,L5,.100,.250,GND,RC_PERIMETER
3.071081,31.528550,L6,L5,.100,.250,GND,RC_PERIMETER
3.306580,31.851877,L6,L5,.100,.250,GND,RC_PERIMETER
3.705588,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
4.105587,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
4.505587,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
4.905586,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
5.305585,31.880002,L6,L5,.100,.250,GND,RC_PERIMETER
6.616563,31.600107,L6,L5,.100,.250,GND,RC_PERIMETER
6.629999,31.200334,L6,L5,.100,.250,GND,RC_PERIMETER
6.629999,30.800335,L6,L5,.100,.250,GND,RC_PERIMETER
6.616736,30.400554,L6,L5,.100,.250,GND,RC_PERIMETER
6.416236,30.054433,L6,L5,.100,.250,GND,RC_PERIMETER
6.416236,29.654434,L6,L5,.100,.250,GND,RC_PERIMETER
6.416236,29.254435,L6,L5,.100,.250,GND,RC_PERIMETER
6.416236,28.854436,L6,L5,.100,.250,GND,RC_PERIMETER
6.381869,28.455915,L6,L5,.100,.250,GND,RC_PERIMETER
5.264247,28.247045,L6,L5,.100,.250,GND,RC_PERIMETER
4.983762,28.848809,L6,L5,.100,.250,GND,RC_PERIMETER
4.983762,29.248809,L6,L5,.100,.250,GND,RC_PERIMETER
4.983762,29.648808,L6,L5,.100,.250,GND,RC_PERIMETER
4.983762,30.048807,L6,L5,.100,.250,GND,RC_PERIMETER
4.590148,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
4.190149,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
1.070000,41.250001,L6,L5,.100,.250,GND,RC_PERIMETER
1.280544,41.590107,L6,L5,.100,.250,GND,RC_PERIMETER
1.678549,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.078548,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.478547,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.878546,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
3.278546,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
4.630001,41.014343,L6,L5,.100,.250,GND,RC_PERIMETER
4.630001,40.614343,L6,L5,.100,.250,GND,RC_PERIMETER
4.628307,40.214347,L6,L5,.100,.250,GND,RC_PERIMETER
